Severity,Start_Lat,Start_Lng
2,29.716625,-95.551613
2,29.859201000000002,-95.403114
2,29.845549,-95.38448299999999
3,29.758677000000002,-95.37469499999999
3,29.73126,-95.40212199999999
2,29.710938,-95.59169
3,29.784715999999996,-95.510841
2,29.870659000000003,-95.365089
2,29.713634000000003,-95.53894
3,29.697172,-95.288391
2,29.685745,-95.277138
2,29.735870000000002,-95.623787
2,29.740858000000003,-95.460991
2,29.627476,-95.240654
2,29.737177000000003,-95.53887900000001
3,29.677785999999998,-95.412987
2,29.771568,-95.349655
2,29.722206,-95.554939
2,29.929913,-95.54409799999999
3,29.769835999999998,-95.365616
2,29.727622999999998,-95.557541
2,29.600239000000002,-95.317863
2,29.747969,-95.572029
3,29.716459000000004,-95.499268
2,29.647762,-95.46356999999999
3,29.754202000000003,-95.455444
3,29.845453000000003,-95.392624
2,29.941285999999998,-95.327263
2,29.778029999999998,-95.618179
2,29.784111,-95.57566800000001
2,29.858727000000002,-95.41243
2,29.6341,-95.411423
2,29.660940000000004,-95.558426
3,29.774753999999998,-95.455849
3,29.766061999999998,-95.45581800000001
2,29.738449,-95.420906
2,29.870031,-95.384872
2,29.593527,-95.220673
2,29.703615000000003,-95.596191
2,29.758608000000002,-95.486191
2,29.807159000000002,-95.43920899999999
2,29.705027,-95.536156
2,29.691167999999998,-95.53519399999999
2,29.673273,-95.289314
2,29.630577000000002,-95.50750699999999
2,29.670563,-95.554924
2,29.859996999999996,-95.563507
2,29.713121,-95.378937
2,29.770008,-95.40142800000001
2,29.864588,-95.37447399999999
2,29.737005,-95.36934699999999
2,29.790094,-95.277596
2,29.619242,-95.49316400000001
2,29.857689,-95.304337
2,29.902794,-95.551804
3,29.784322999999997,-95.452042
2,29.718224,-95.49691800000001
2,29.612238,-95.464951
3,29.845453000000003,-95.392624
2,29.836903000000003,-95.384407
2,29.698297999999998,-95.28067
2,29.674984000000002,-95.583076
2,29.87303,-95.554787
2,29.784481,-95.264954
3,29.68195,-95.458649
2,29.802773,-95.41014100000001
2,29.774760999999998,-95.417992
2,29.747046,-95.361305
2,29.854084000000004,-95.515427
2,29.738646000000003,-95.57202099999999
2,29.886774,-95.549385
2,29.723875,-95.41674
2,29.870659000000003,-95.365089
2,29.729239,-95.635818
2,29.938702000000003,-95.356133
2,29.848060999999998,-95.34863299999999
2,29.655684,-95.52803
3,29.730496999999996,-95.340614
2,29.965490000000003,-95.33600600000001
2,29.75,-95.50103
2,29.677595,-95.493408
2,29.86725,-95.564011
2,29.693503999999997,-95.530266
2,29.740858000000003,-95.460991
2,29.765089,-95.457397
2,29.673952000000003,-95.424812
3,29.869120000000002,-95.412605
2,29.847519000000002,-95.52422299999999
2,29.770273,-95.39604200000001
2,29.758740999999997,-95.366043
3,29.784012,-95.475616
2,29.846556,-95.359085
2,29.714563000000002,-95.354614
2,29.864105,-95.307762
2,29.961014000000002,-95.547508
3,29.697172,-95.288391
2,29.754109999999997,-95.529327
2,29.750023,-95.479568
2,29.697012,-95.41235400000001
2,29.766788000000002,-95.410461
2,29.760918,-95.390091
2,29.808396999999996,-95.381996
2,29.744743,-95.37841800000001
2,29.681240000000003,-95.375725
2,29.758390000000002,-95.356171
2,29.939013,-95.31566600000001
2,29.860605,-95.307732
2,29.697845,-95.26724200000001
2,29.700468,-95.547211
2,29.759813,-95.408417
2,29.745296000000003,-95.37159
2,29.902794,-95.551804
2,29.704141999999997,-95.29834699999999
2,29.630577000000002,-95.50750699999999
3,29.669153,-95.26254300000001
2,29.758057,-95.37043
2,29.79706,-95.27158399999999
2,29.750538,-95.37258100000001
2,29.805132,-95.240501
2,29.710487,-95.333206
2,29.814097999999998,-95.370193
2,29.685011,-95.296227
3,29.754202000000003,-95.455444
2,29.965290000000003,-95.42952700000001
2,29.754883000000003,-95.625282
2,29.837383000000003,-95.40287
2,29.675243,-95.58731800000001
2,29.732767,-95.418678
3,29.773304,-95.45594799999999
3,29.7777,-95.429512
2,29.960746999999998,-95.54742399999999
2,29.729038,-95.44148299999999
2,29.738445000000002,-95.421898
2,29.69718,-95.419434
2,29.736615999999998,-95.58120699999999
2,29.722095,-95.376701
2,29.67548,-95.381691
2,29.703276000000002,-95.44017
2,29.641078999999998,-95.243248
2,29.813805,-95.361275
2,29.736867999999998,-95.557526
2,29.956358,-95.543236
2,29.923572999999998,-95.628609
2,29.621202,-95.251373
3,29.79706,-95.27158399999999
3,29.697172,-95.288391
3,29.879976,-95.3246
2,29.736561,-95.58500699999999
2,29.956999,-95.401009
2,29.870921999999997,-95.417404
2,29.761698,-95.359863
3,29.698415999999998,-95.287193
2,29.688896000000003,-95.29046600000001
2,29.700125,-95.38646700000001
2,29.723029999999998,-95.688087
2,29.688370000000003,-95.570274
2,29.674889,-95.56014300000001
2,29.627249,-95.516449
2,29.986828000000003,-95.317986
2,29.667118,-95.25798
2,29.674984000000002,-95.583076
2,29.832354,-95.536858
2,29.705085999999998,-95.530266
2,29.676933000000002,-95.476677
2,29.870929999999998,-95.414879
2,29.828028000000003,-95.410637
2,29.684645,-95.277397
2,29.840914,-95.42878
2,29.870031,-95.384872
2,29.802813,-95.284935
2,29.622868,-95.264511
2,29.802834999999998,-95.484848
2,29.818109999999997,-95.38806899999999
2,29.83618,-95.495361
2,29.728851000000002,-95.476433
2,29.699890000000003,-95.596184
2,29.944221000000002,-95.399857
2,29.838057,-95.262238
2,29.788859999999996,-95.683357
2,29.719867999999998,-95.60481300000001
2,29.675137,-95.495987
2,29.864388,-95.48698399999999
3,29.813805,-95.361275
2,29.746546000000002,-95.36048100000001
2,29.676942999999998,-95.59880799999999
2,29.706188,-95.401077
2,29.649898999999998,-95.37183399999999
2,29.691167999999998,-95.53519399999999
2,29.733746999999997,-95.365608
2,29.747908000000002,-95.326614
2,29.658209000000003,-95.276619
2,29.715307,-95.396461
2,29.674985999999997,-95.268852
2,29.674463,-95.574486
2,29.613998,-95.493729
3,29.660276,-95.557602
2,29.864145,-95.418175
2,29.729042,-95.52516899999999
2,29.742047999999997,-95.430038
2,29.715066999999998,-95.41842700000001
2,29.774753999999998,-95.426224
2,29.760069,-95.370087
2,29.702296999999998,-95.359451
2,29.719625,-95.50116
2,29.748184000000002,-95.405525
2,29.727622999999998,-95.557541
2,29.699762,-95.38205
2,29.712788,-95.624107
2,29.859133,-95.362808
2,29.718203000000003,-95.505806
2,29.751096999999998,-95.37718199999999
2,29.683315000000004,-95.236221
2,29.691167999999998,-95.53519399999999
2,29.835714000000003,-95.394577
2,29.68923,-95.459
2,29.694418,-95.41439799999999
2,29.598827000000004,-95.353302
2,29.775381,-95.644051
2,29.725718,-95.476395
2,29.745116999999997,-95.36541700000001
2,29.741489,-95.359436
2,29.688557,-95.340477
3,29.774387,-95.315201
3,29.774387,-95.315201
3,29.768108,-95.355995
2,29.996042,-95.397087
3,29.803839,-95.372574
3,29.744165000000002,-95.361115
2,29.996042,-95.397087
3,29.804486999999998,-95.284676
2,29.735737,-95.631729
2,29.943403000000004,-95.32154799999999
2,29.714954,-95.497139
2,29.839014000000002,-95.405586
3,29.808233,-95.336021
2,29.672392,-95.27713
2,29.685173,-95.51191700000001
2,29.737751,-95.50103
2,29.736165999999997,-95.60584300000001
2,29.808233,-95.336021
2,29.801731,-95.540276
2,29.738004999999998,-95.46685
2,29.740644,-95.58869200000001
2,29.645149,-95.368401
2,29.673273,-95.289314
2,29.738028999999997,-95.46476
2,29.655699,-95.52640500000001
2,29.701551000000002,-95.371147
2,29.655851000000002,-95.355423
2,29.817308,-95.45546
2,29.657171,-95.508453
2,29.769716,-95.39859
2,29.677903999999998,-95.526337
2,29.719625,-95.50116
2,29.728601,-95.53531600000001
2,29.870525,-95.41263599999999
2,29.772163,-95.38278199999999
2,29.644251,-95.508308
2,29.770709999999998,-95.378113
2,29.689204999999998,-95.55532099999999
2,29.682570000000002,-95.55450400000001
2,29.611309000000002,-95.227921
2,29.739803000000002,-95.460701
2,29.673994,-95.534821
2,29.860943,-95.385735
2,29.848352000000002,-95.379044
2,29.731973999999997,-95.563873
2,29.706179,-95.538116
2,29.695127000000003,-95.32692
2,29.705444,-95.493103
2,29.671335,-95.528358
2,29.739927,-95.338844
2,29.617434000000003,-95.43073299999999
2,29.736507,-95.588615
2,29.746737,-95.625023
2,29.865688000000002,-95.486526
2,29.722532,-95.391388
2,29.652209999999997,-95.446655
2,29.722092,-95.539055
2,29.630903000000004,-95.24748199999999
2,29.832721999999997,-95.444801
2,29.600807,-95.228569
3,29.808233,-95.336021
2,29.838457000000002,-95.333946
2,29.692028000000004,-95.509979
2,29.817284,-95.42954300000001
